"Specimen.ID","Eleginus gracilis","Oncorhynchus kisutch","Oncorhynchus keta","Osmerus mordax","Coregonus sp","Coregonus nasus","Coregonus laurettae","Myzopsetta proboscidea","Oncorhynchus gorbuscha","Liparis spp.","NA","NA.1","NA.2","Clupea pallasii","Ammodytes hexapterus","NA.3","Liopsetta glacialis","NA.4","Myoxocephalus scorpius","Pleuronectes quadrituberculatus","Limanda aspera","Gadus chalcogrammus","NA.5","NA.6","Stichaeus punctatus","NA.7","Lumpenus spp.","NA.8","Acantholumpenus mackayi","Myoxocephalus jaok","Gymnocanthus tricuspis","Gymnocanthus pistilliger","Boreogadus saida","Pusa hispida","Microcottus sellaris","Erignathus barbatus","Pallasina barbata","Delphinapterus leucas","Esox lucius","Myoxocephalus spp.","NA.9","Salvelinus spp.","Hypomesus olidus","NA.10","NA.11","NA.12","Helicobacter spp."
"DL21OTZ007",0.976,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL22OME001",0.954,0,0,0,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL23OME002",0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL23OME003",0.155,0,0,0.115,0,0,0,0,0,0,0,0,0,0,0.002,0.641,0,0,0,0,0,0,0,0.001,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL23SCM001",0.399,0,0,0.013,0.152,0.198,0.12,0,0,0,0.039,0.04,0.034,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0
"EB23PH005-S",0.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB23PH028-S",0.402,0,0,0.01,0,0,0,0.284,0,0,0,0,0,0,0.006,0.005,0.097,0,0,0.055,0.113,0,0,0,0,0,0,0,0,0,0.003,0.012,0,0,0,0,0.01,0,0,0,0.002,0,0,0,0,0,0
"EB23SH009-S",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB24GAM020-S",0,0,0,0,0,0,0,0.728,0,0,0,0,0,0,0.01,0.117,0,0,0,0.023,0,0,0,0,0,0,0.058,0,0.056,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB24PH055-S",0,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0.123,0.226,0,0,0.539,0,0.022,0,0,0,0.057,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB24PH075-S",0.71,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH004-S",0.879,0,0,0.118,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH015-S",0,0,0,0.114,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH036-S",0.965,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH036-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PH23GAM007-S",0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH005-S",0.417,0,0,0.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH032-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB23PH005-F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0.015
"PH23SH032-F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0.347,0,0,0,0.259,0,0,0,0.104,0,0.059,0
