"Specimen.ID","Eleginus gracilis","Oncorhynchus kisutch","Oncorhynchus keta","Osmerus mordax","Coregonus sp","Coregonus nasus","Coregonus laurettae","Myzopsetta proboscidea","Oncorhynchus gorbuscha","Liparis spp.","NA","NA.1","NA.2","Clupea pallasii","Ammodytes hexapterus","NA.3","Liopsetta glacialis","NA.4","Myoxocephalus scorpius","Pleuronectes quadrituberculatus","Limanda aspera","Gadus chalcogrammus","NA.5","NA.6","Stichaeus punctatus","NA.7","Lumpenus spp.","NA.8","Acantholumpenus mackayi","Myoxocephalus jaok","Gymnocanthus tricuspis","Gymnocanthus pistilliger","Boreogadus saida","Pusa hispida","Microcottus sellaris","Erignathus barbatus","Pallasina barbata","Delphinapterus leucas","Esox lucius","Myoxocephalus spp.","NA.9","Salvelinus spp.","Hypomesus olidus","NA.10","NA.11","NA.12","Helicobacter spp."
"DL18OME004",82847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL20OME001",105021,0,0,0,0,0,0,0,0,0,0,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL20OME002",58800,0,0,0,0,0,0,0,0,0,0,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"DL20OME003",77423,0,0,0,0,0,0,0,0,0,0,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0
"DL21OTZ007",97740,0,0,0,0,0,0,0,0,0,0,2271,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"DL22OME001",21332,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL23OME002",11,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL23OME003",359,0,0,265,0,0,0,0,0,0,0,0,0,0,5,1481,0,0,0,0,0,0,0,3,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DL23SCM001",23733,0,0,749,9073,11801,7143,0,0,0,2299,2402,2041,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,53,0,23,0,0
"EB23PH005-S",2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,161,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB23PH028-S",4317,0,0,105,0,0,0,3053,0,0,0,0,0,0,68,50,1045,0,0,590,1216,0,0,0,0,0,0,0,0,0,36,124,0,0,0,0,111,0,0,0,20,0,0,0,0,0,0
"EB23SH009-S",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB24GAM020-S",0,0,0,0,0,0,0,2385,0,0,0,0,0,0,34,384,0,0,0,75,0,0,0,0,0,0,190,0,183,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB24PH055-S",0,0,0,0,0,0,0,24,0,0,0,0,0,0,156,288,0,0,686,0,28,0,0,0,73,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB24PH075-S",171,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH004-S",1031,0,0,139,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH015-S",0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH036-S",4321,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH22SH036-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
"PH23GAM007-S",0,0,0,20,0,0,0,0,0,0,0,0,0,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH005-S",15,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PH23SH032-S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EB23PH005-F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,4
"PH23SH032-F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,57,0,0,0,0,154,0,0,0,115,0,0,0,46,0,26,0
