site,week,year,order,variable,value
ENG,30,2015,Coleoptera,Carabidae,0.296875
ENG,31,2015,Coleoptera,Carabidae,0.57421875
ENG,34,2015,Coleoptera,Carabidae,0.03125
ENG,23,2016,Coleoptera,Carabidae,0.104705274
ENG,24,2016,Coleoptera,Carabidae,0.032057911
ENG,25,2016,Coleoptera,Carabidae,0.157187177
ENG,26,2016,Coleoptera,Carabidae,0.10237849
ENG,27,2016,Coleoptera,Carabidae,0.235780765
ENG,28,2016,Coleoptera,Carabidae,0.001034126
ENG,29,2016,Coleoptera,Carabidae,0.03516029
ENG,30,2016,Coleoptera,Carabidae,0.002326784
ENG,31,2016,Coleoptera,Carabidae,0.268872802
ENG,32,2016,Coleoptera,Carabidae,0.003619442
ENG,33,2016,Coleoptera,Carabidae,0.002585315
ENG,34,2016,Coleoptera,Carabidae,0.024819028
ENG,35,2016,Coleoptera,Carabidae,0.027921406
ENG,36,2016,Coleoptera,Carabidae,0.001034126
ENG,37,2016,Coleoptera,Carabidae,0.000517063
GOV,29,2015,Coleoptera,Carabidae,0
GOV,30,2015,Coleoptera,Carabidae,0.375
GOV,31,2015,Coleoptera,Carabidae,0.108974359
GOV,33,2015,Coleoptera,Carabidae,0.233974359
GOV,34,2015,Coleoptera,Carabidae,0.282051282
GOV,24,2016,Coleoptera,Carabidae,0.657894737
GOV,26,2016,Coleoptera,Carabidae,0
GOV,27,2016,Coleoptera,Carabidae,0
GOV,28,2016,Coleoptera,Carabidae,0
GOV,29,2016,Coleoptera,Carabidae,0
GOV,30,2016,Coleoptera,Carabidae,0
GOV,31,2016,Coleoptera,Carabidae,0
GOV,32,2016,Coleoptera,Carabidae,0
GOV,33,2016,Coleoptera,Carabidae,0
GOV,35,2016,Coleoptera,Carabidae,0.144736842
GOV,36,2016,Coleoptera,Carabidae,0.105263158
GOV,37,2016,Coleoptera,Carabidae,0.092105263
HES,25,2015,Coleoptera,Carabidae,0.023677979
HES,27,2015,Coleoptera,Carabidae,0.006314128
HES,28,2015,Coleoptera,Carabidae,0.034727703
HES,29,2015,Coleoptera,Carabidae,0.044988161
HES,30,2015,Coleoptera,Carabidae,0.47355959
HES,31,2015,Coleoptera,Carabidae,0.239936859
HES,32,2015,Coleoptera,Carabidae,0.126282557
HES,33,2015,Coleoptera,Carabidae,0.050513023
HES,23,2016,Coleoptera,Carabidae,0.045385779
HES,24,2016,Coleoptera,Carabidae,0.096822995
HES,25,2016,Coleoptera,Carabidae,0.314674735
HES,26,2016,Coleoptera,Carabidae,0.160363086
HES,27,2016,Coleoptera,Carabidae,0.060514372
HES,28,2016,Coleoptera,Carabidae,0
HES,29,2016,Coleoptera,Carabidae,0.054462935
HES,30,2016,Coleoptera,Carabidae,0.012102874
HES,31,2016,Coleoptera,Carabidae,0.158850227
HES,32,2016,Coleoptera,Carabidae,0.010590015
HES,33,2016,Coleoptera,Carabidae,0.009077156
HES,34,2016,Coleoptera,Carabidae,0.059001513
HES,35,2016,Coleoptera,Carabidae,0.007564297
HES,36,2016,Coleoptera,Carabidae,0.006051437
HES,37,2016,Coleoptera,Carabidae,0.004538578
HOR,25,2015,Coleoptera,Carabidae,0.002188184
HOR,26,2015,Coleoptera,Carabidae,0.002188184
HOR,28,2015,Coleoptera,Carabidae,0.015317287
HOR,29,2015,Coleoptera,Carabidae,0.09190372
HOR,30,2015,Coleoptera,Carabidae,0.225382932
HOR,31,2015,Coleoptera,Carabidae,0.446389497
HOR,32,2015,Coleoptera,Carabidae,0.09190372
HOR,33,2015,Coleoptera,Carabidae,0.054704595
HOR,34,2015,Coleoptera,Carabidae,0.070021882
HOR,23,2016,Coleoptera,Carabidae,0.125925926
HOR,24,2016,Coleoptera,Carabidae,0.02962963
HOR,25,2016,Coleoptera,Carabidae,0.296296296
HOR,26,2016,Coleoptera,Carabidae,0.044444444
HOR,27,2016,Coleoptera,Carabidae,0.092592593
HOR,28,2016,Coleoptera,Carabidae,0
HOR,29,2016,Coleoptera,Carabidae,0.103703704
HOR,30,2016,Coleoptera,Carabidae,0
HOR,31,2016,Coleoptera,Carabidae,0.22962963
HOR,32,2016,Coleoptera,Carabidae,0.007407407
HOR,33,2016,Coleoptera,Carabidae,0.011111111
HOR,34,2016,Coleoptera,Carabidae,0.046296296
HOR,35,2016,Coleoptera,Carabidae,0.011111111
HOR,36,2016,Coleoptera,Carabidae,0
HOR,37,2016,Coleoptera,Carabidae,0.001851852
KER,27,2015,Coleoptera,Carabidae,0.010204082
KER,28,2015,Coleoptera,Carabidae,0.051020408
KER,29,2015,Coleoptera,Carabidae,0.091836735
KER,31,2015,Coleoptera,Carabidae,0.489795918
KER,32,2015,Coleoptera,Carabidae,0.030612245
KER,33,2015,Coleoptera,Carabidae,0.142857143
KER,34,2015,Coleoptera,Carabidae,0.183673469
KER,25,2016,Coleoptera,Carabidae,0.607208872
KER,26,2016,Coleoptera,Carabidae,0.005545287
KER,27,2016,Coleoptera,Carabidae,0.060073937
KER,28,2016,Coleoptera,Carabidae,0
KER,29,2016,Coleoptera,Carabidae,0.136783734
KER,30,2016,Coleoptera,Carabidae,0.003696858
KER,31,2016,Coleoptera,Carabidae,0.081330869
KER,32,2016,Coleoptera,Carabidae,0.056377079
KER,33,2016,Coleoptera,Carabidae,0.003696858
KER,34,2016,Coleoptera,Carabidae,0.033271719
KER,35,2016,Coleoptera,Carabidae,0.011090573
KER,36,2016,Coleoptera,Carabidae,0
KER,37,2016,Coleoptera,Carabidae,0.000924214
KER ,26,2015,Coleoptera,Carabidae,1
KER ,24,2016,Coleoptera,Carabidae,1
SIL,24,2015,Coleoptera,Carabidae,0.139002196
SIL,25,2015,Coleoptera,Carabidae,0.201443364
SIL,27,2015,Coleoptera,Carabidae,0.017571384
SIL,29,2015,Coleoptera,Carabidae,0.121744587
SIL,30,2015,Coleoptera,Carabidae,0.338876687
SIL,31,2015,Coleoptera,Carabidae,0.112958896
SIL,33,2015,Coleoptera,Carabidae,0.025101977
SIL,34,2015,Coleoptera,Carabidae,0.04330091
SIL,23,2016,Coleoptera,Carabidae,0.050890585
SIL,24,2016,Coleoptera,Carabidae,0.06043257
SIL,25,2016,Coleoptera,Carabidae,0.284987277
SIL,27,2016,Coleoptera,Carabidae,0.01653944
SIL,28,2016,Coleoptera,Carabidae,0
SIL,29,2016,Coleoptera,Carabidae,0.036895674
SIL,30,2016,Coleoptera,Carabidae,0.004452926
SIL,31,2016,Coleoptera,Carabidae,0.437659033
SIL,32,2016,Coleoptera,Carabidae,0.005407125
SIL,33,2016,Coleoptera,Carabidae,0.015267176
SIL,34,2016,Coleoptera,Carabidae,0.076653944
SIL,35,2016,Coleoptera,Carabidae,0.005089059
SIL,36,2016,Coleoptera,Carabidae,0.005725191
SIL,37,2016,Coleoptera,Carabidae,0
SWA,24,2015,Coleoptera,Carabidae,0.030769231
SWA,27,2015,Coleoptera,Carabidae,0.080769231
SWA,28,2015,Coleoptera,Carabidae,0.069230769
SWA,30,2015,Coleoptera,Carabidae,0.253846154
SWA,31,2015,Coleoptera,Carabidae,0.311538462
SWA,32,2015,Coleoptera,Carabidae,0.126923077
SWA,33,2015,Coleoptera,Carabidae,0.061538462
SWA,34,2015,Coleoptera,Carabidae,0.065384615
SWA,24,2016,Coleoptera,Carabidae,0.002621232
SWA,25,2016,Coleoptera,Carabidae,0.209698558
SWA,26,2016,Coleoptera,Carabidae,0.265618174
SWA,27,2016,Coleoptera,Carabidae,0.258628222
SWA,28,2016,Coleoptera,Carabidae,0.001747488
SWA,29,2016,Coleoptera,Carabidae,0.038444736
SWA,30,2016,Coleoptera,Carabidae,0.003494976
SWA,31,2016,Coleoptera,Carabidae,0.104849279
SWA,32,2016,Coleoptera,Carabidae,0.00436872
SWA,33,2016,Coleoptera,Carabidae,0.027959808
SWA,34,2016,Coleoptera,Carabidae,0.056356488
SWA,35,2016,Coleoptera,Carabidae,0.025775448
SWA,36,2016,Coleoptera,Carabidae,0
SWA,37,2016,Coleoptera,Carabidae,0.000436872
YEL,25,2015,Coleoptera,Carabidae,0.002197802
YEL,26,2015,Coleoptera,Carabidae,0.131868132
YEL,30,2015,Coleoptera,Carabidae,0.47032967
YEL,33,2015,Coleoptera,Carabidae,0.395604396
YEL,23,2016,Coleoptera,Carabidae,0.0768
YEL,24,2016,Coleoptera,Carabidae,0.0016
YEL,25,2016,Coleoptera,Carabidae,0.2688
YEL,26,2016,Coleoptera,Carabidae,0.0352
YEL,27,2016,Coleoptera,Carabidae,0.2304
YEL,28,2016,Coleoptera,Carabidae,0
YEL,29,2016,Coleoptera,Carabidae,0.1296
YEL,30,2016,Coleoptera,Carabidae,0
YEL,31,2016,Coleoptera,Carabidae,0.1408
YEL,32,2016,Coleoptera,Carabidae,0.016
YEL,33,2016,Coleoptera,Carabidae,0.0032
YEL,34,2016,Coleoptera,Carabidae,0.0384
YEL,35,2016,Coleoptera,Carabidae,0.0592
YEL,36,2016,Coleoptera,Carabidae,0
YEL,37,2016,Coleoptera,Carabidae,0
BAL,29,2015,Coleoptera,Coleomegilla,0
BAL,30,2015,Coleoptera,Coleomegilla,0
BAL,31,2015,Coleoptera,Coleomegilla,0
BAL,32,2015,Coleoptera,Coleomegilla,0
BAL,33,2015,Coleoptera,Coleomegilla,1
BAL,34,2015,Coleoptera,Coleomegilla,0
BAL,23,2016,Coleoptera,Coleomegilla,0
BAL,24,2016,Coleoptera,Coleomegilla,0
BAL,25,2016,Coleoptera,Coleomegilla,0
BAL,26,2016,Coleoptera,Coleomegilla,0
BAL,27,2016,Coleoptera,Coleomegilla,0
BAL,28,2016,Coleoptera,Coleomegilla,0
BAL,29,2016,Coleoptera,Coleomegilla,0
BAL,30,2016,Coleoptera,Coleomegilla,0
BAL,31,2016,Coleoptera,Coleomegilla,0
BAL,32,2016,Coleoptera,Coleomegilla,0
BAL,33,2016,Coleoptera,Coleomegilla,0
BAL,34,2016,Coleoptera,Coleomegilla,0
BAL,35,2016,Coleoptera,Coleomegilla,0
BAL,36,2016,Coleoptera,Coleomegilla,0
BAL,37,2016,Coleoptera,Coleomegilla,0
COO,29,2015,Coleoptera,Coleomegilla,0
COO,30,2015,Coleoptera,Coleomegilla,0
COO,31,2015,Coleoptera,Coleomegilla,0
COO,32,2015,Coleoptera,Coleomegilla,0
COO,33,2015,Coleoptera,Coleomegilla,0
COO,34,2015,Coleoptera,Coleomegilla,0
COO,23,2016,Coleoptera,Coleomegilla,0
COO,24,2016,Coleoptera,Coleomegilla,0
COO,25,2016,Coleoptera,Coleomegilla,0
COO,26,2016,Coleoptera,Coleomegilla,0
COO,27,2016,Coleoptera,Coleomegilla,1
COO,28,2016,Coleoptera,Coleomegilla,0
COO,29,2016,Coleoptera,Coleomegilla,0
COO,30,2016,Coleoptera,Coleomegilla,0
COO,31,2016,Coleoptera,Coleomegilla,0
COO,32,2016,Coleoptera,Coleomegilla,0
COO,33,2016,Coleoptera,Coleomegilla,0
COO,34,2016,Coleoptera,Coleomegilla,0
COO,35,2016,Coleoptera,Coleomegilla,0
COO,36,2016,Coleoptera,Coleomegilla,0
COO,37,2016,Coleoptera,Coleomegilla,0
ENG,29,2015,Coleoptera,Coleomegilla,0
ENG,30,2015,Coleoptera,Coleomegilla,0
ENG,31,2015,Coleoptera,Coleomegilla,0
ENG,34,2015,Coleoptera,Coleomegilla,0
ENG,23,2016,Coleoptera,Coleomegilla,0
ENG,24,2016,Coleoptera,Coleomegilla,0
ENG,25,2016,Coleoptera,Coleomegilla,0.333333333
ENG,26,2016,Coleoptera,Coleomegilla,0
ENG,27,2016,Coleoptera,Coleomegilla,0
ENG,28,2016,Coleoptera,Coleomegilla,0
ENG,29,2016,Coleoptera,Coleomegilla,0
ENG,30,2016,Coleoptera,Coleomegilla,0
ENG,31,2016,Coleoptera,Coleomegilla,0
ENG,32,2016,Coleoptera,Coleomegilla,0
ENG,33,2016,Coleoptera,Coleomegilla,0
ENG,34,2016,Coleoptera,Coleomegilla,0
ENG,35,2016,Coleoptera,Coleomegilla,0.333333333
ENG,36,2016,Coleoptera,Coleomegilla,0.333333333
ENG,37,2016,Coleoptera,Coleomegilla,0
GOV,29,2015,Coleoptera,Coleomegilla,0
GOV,30,2015,Coleoptera,Coleomegilla,0
GOV,31,2015,Coleoptera,Coleomegilla,0
GOV,33,2015,Coleoptera,Coleomegilla,0
GOV,34,2015,Coleoptera,Coleomegilla,0
GOV,24,2016,Coleoptera,Coleomegilla,0
GOV,26,2016,Coleoptera,Coleomegilla,0
GOV,27,2016,Coleoptera,Coleomegilla,0
GOV,28,2016,Coleoptera,Coleomegilla,0
GOV,29,2016,Coleoptera,Coleomegilla,0
GOV,30,2016,Coleoptera,Coleomegilla,0
GOV,31,2016,Coleoptera,Coleomegilla,0
GOV,32,2016,Coleoptera,Coleomegilla,0
GOV,33,2016,Coleoptera,Coleomegilla,0
GOV,35,2016,Coleoptera,Coleomegilla,0
GOV,36,2016,Coleoptera,Coleomegilla,0
GOV,37,2016,Coleoptera,Coleomegilla,0
HES,25,2015,Coleoptera,Coleomegilla,0
HES,27,2015,Coleoptera,Coleomegilla,0
HES,28,2015,Coleoptera,Coleomegilla,0
HES,29,2015,Coleoptera,Coleomegilla,0
HES,30,2015,Coleoptera,Coleomegilla,0
HES,31,2015,Coleoptera,Coleomegilla,0
HES,32,2015,Coleoptera,Coleomegilla,0
HES,33,2015,Coleoptera,Coleomegilla,0
HES,23,2016,Coleoptera,Coleomegilla,0
HES,24,2016,Coleoptera,Coleomegilla,0
HES,25,2016,Coleoptera,Coleomegilla,0
HES,26,2016,Coleoptera,Coleomegilla,0
HES,27,2016,Coleoptera,Coleomegilla,0
HES,28,2016,Coleoptera,Coleomegilla,0
HES,29,2016,Coleoptera,Coleomegilla,0
HES,30,2016,Coleoptera,Coleomegilla,0
HES,31,2016,Coleoptera,Coleomegilla,0
HES,32,2016,Coleoptera,Coleomegilla,0
HES,33,2016,Coleoptera,Coleomegilla,0
HES,34,2016,Coleoptera,Coleomegilla,0
HES,35,2016,Coleoptera,Coleomegilla,0
HES,36,2016,Coleoptera,Coleomegilla,0
HES,37,2016,Coleoptera,Coleomegilla,0
HOR,25,2015,Coleoptera,Coleomegilla,0
HOR,26,2015,Coleoptera,Coleomegilla,0
HOR,28,2015,Coleoptera,Coleomegilla,0
HOR,29,2015,Coleoptera,Coleomegilla,0
HOR,30,2015,Coleoptera,Coleomegilla,0
HOR,31,2015,Coleoptera,Coleomegilla,0
HOR,32,2015,Coleoptera,Coleomegilla,0
HOR,33,2015,Coleoptera,Coleomegilla,0
HOR,34,2015,Coleoptera,Coleomegilla,0
HOR,23,2016,Coleoptera,Coleomegilla,0
HOR,24,2016,Coleoptera,Coleomegilla,0
HOR,25,2016,Coleoptera,Coleomegilla,0
HOR,26,2016,Coleoptera,Coleomegilla,0
HOR,27,2016,Coleoptera,Coleomegilla,0
HOR,28,2016,Coleoptera,Coleomegilla,0
HOR,29,2016,Coleoptera,Coleomegilla,0
HOR,30,2016,Coleoptera,Coleomegilla,0
HOR,31,2016,Coleoptera,Coleomegilla,0
HOR,32,2016,Coleoptera,Coleomegilla,0
HOR,33,2016,Coleoptera,Coleomegilla,0
HOR,34,2016,Coleoptera,Coleomegilla,0
HOR,35,2016,Coleoptera,Coleomegilla,0
HOR,36,2016,Coleoptera,Coleomegilla,0
HOR,37,2016,Coleoptera,Coleomegilla,0
KER,27,2015,Coleoptera,Coleomegilla,0
KER,28,2015,Coleoptera,Coleomegilla,0
KER,29,2015,Coleoptera,Coleomegilla,0
KER,31,2015,Coleoptera,Coleomegilla,0
KER,32,2015,Coleoptera,Coleomegilla,0
KER,33,2015,Coleoptera,Coleomegilla,0
KER,34,2015,Coleoptera,Coleomegilla,0
KER,25,2016,Coleoptera,Coleomegilla,0
KER,26,2016,Coleoptera,Coleomegilla,0
KER,27,2016,Coleoptera,Coleomegilla,0
KER,28,2016,Coleoptera,Coleomegilla,0
KER,29,2016,Coleoptera,Coleomegilla,0
KER,30,2016,Coleoptera,Coleomegilla,0
KER,31,2016,Coleoptera,Coleomegilla,0
KER,32,2016,Coleoptera,Coleomegilla,0
KER,33,2016,Coleoptera,Coleomegilla,0
KER,34,2016,Coleoptera,Coleomegilla,0
KER,35,2016,Coleoptera,Coleomegilla,0
KER,36,2016,Coleoptera,Coleomegilla,0
KER,37,2016,Coleoptera,Coleomegilla,0
KER ,26,2015,Coleoptera,Coleomegilla,0
KER ,24,2016,Coleoptera,Coleomegilla,0
SIL,24,2015,Coleoptera,Coleomegilla,1
SIL,25,2015,Coleoptera,Coleomegilla,0
SIL,27,2015,Coleoptera,Coleomegilla,0
SIL,29,2015,Coleoptera,Coleomegilla,0
SIL,30,2015,Coleoptera,Coleomegilla,0
SIL,31,2015,Coleoptera,Coleomegilla,0
SIL,33,2015,Coleoptera,Coleomegilla,0
SIL,34,2015,Coleoptera,Coleomegilla,0
SIL,23,2016,Coleoptera,Coleomegilla,0.666666667
SIL,24,2016,Coleoptera,Coleomegilla,0.333333333
SIL,25,2016,Coleoptera,Coleomegilla,0
SIL,27,2016,Coleoptera,Coleomegilla,0
SIL,28,2016,Coleoptera,Coleomegilla,0
SIL,29,2016,Coleoptera,Coleomegilla,0
SIL,30,2016,Coleoptera,Coleomegilla,0
SIL,31,2016,Coleoptera,Coleomegilla,0
SIL,32,2016,Coleoptera,Coleomegilla,0
SIL,33,2016,Coleoptera,Coleomegilla,0
SIL,34,2016,Coleoptera,Coleomegilla,0
SIL,35,2016,Coleoptera,Coleomegilla,0
SIL,36,2016,Coleoptera,Coleomegilla,0
SIL,37,2016,Coleoptera,Coleomegilla,0
SWA,24,2015,Coleoptera,Coleomegilla,0
SWA,27,2015,Coleoptera,Coleomegilla,0
SWA,28,2015,Coleoptera,Coleomegilla,0
SWA,30,2015,Coleoptera,Coleomegilla,0
SWA,31,2015,Coleoptera,Coleomegilla,0
SWA,32,2015,Coleoptera,Coleomegilla,0
SWA,33,2015,Coleoptera,Coleomegilla,0
SWA,34,2015,Coleoptera,Coleomegilla,0
SWA,24,2016,Coleoptera,Coleomegilla,0
SWA,25,2016,Coleoptera,Coleomegilla,0
SWA,26,2016,Coleoptera,Coleomegilla,0
SWA,27,2016,Coleoptera,Coleomegilla,0
SWA,28,2016,Coleoptera,Coleomegilla,0
SWA,29,2016,Coleoptera,Coleomegilla,0
SWA,30,2016,Coleoptera,Coleomegilla,0
SWA,31,2016,Coleoptera,Coleomegilla,0
SWA,32,2016,Coleoptera,Coleomegilla,0
SWA,33,2016,Coleoptera,Coleomegilla,0
SWA,34,2016,Coleoptera,Coleomegilla,0
SWA,35,2016,Coleoptera,Coleomegilla,0
SWA,36,2016,Coleoptera,Coleomegilla,0
SWA,37,2016,Coleoptera,Coleomegilla,0
YEL,25,2015,Coleoptera,Coleomegilla,0
YEL,26,2015,Coleoptera,Coleomegilla,0
YEL,30,2015,Coleoptera,Coleomegilla,0
YEL,33,2015,Coleoptera,Coleomegilla,0
YEL,23,2016,Coleoptera,Coleomegilla,0
YEL,24,2016,Coleoptera,Coleomegilla,0
YEL,25,2016,Coleoptera,Coleomegilla,0
YEL,26,2016,Coleoptera,Coleomegilla,0
YEL,27,2016,Coleoptera,Coleomegilla,0
YEL,28,2016,Coleoptera,Coleomegilla,0
YEL,29,2016,Coleoptera,Coleomegilla,0
YEL,30,2016,Coleoptera,Coleomegilla,0
YEL,31,2016,Coleoptera,Coleomegilla,0
YEL,32,2016,Coleoptera,Coleomegilla,0
YEL,33,2016,Coleoptera,Coleomegilla,0
YEL,34,2016,Coleoptera,Coleomegilla,0
YEL,35,2016,Coleoptera,Coleomegilla,0
YEL,36,2016,Coleoptera,Coleomegilla,0
YEL,37,2016,Coleoptera,Coleomegilla,0
BAL,29,2015,Coleoptera,Elateridae,0.090909091
BAL,30,2015,Coleoptera,Elateridae,0.909090909
BAL,31,2015,Coleoptera,Elateridae,0
BAL,32,2015,Coleoptera,Elateridae,0
BAL,33,2015,Coleoptera,Elateridae,0
BAL,34,2015,Coleoptera,Elateridae,0
BAL,23,2016,Coleoptera,Elateridae,0.034482759
BAL,24,2016,Coleoptera,Elateridae,0
BAL,25,2016,Coleoptera,Elateridae,0.586206897
BAL,26,2016,Coleoptera,Elateridae,0.068965517
BAL,27,2016,Coleoptera,Elateridae,0.068965517
BAL,28,2016,Coleoptera,Elateridae,0
BAL,29,2016,Coleoptera,Elateridae,0
BAL,30,2016,Coleoptera,Elateridae,0
BAL,31,2016,Coleoptera,Elateridae,0.137931034
BAL,32,2016,Coleoptera,Elateridae,0.068965517
BAL,33,2016,Coleoptera,Elateridae,0
BAL,34,2016,Coleoptera,Elateridae,0
BAL,35,2016,Coleoptera,Elateridae,0.034482759
BAL,36,2016,Coleoptera,Elateridae,0
BAL,37,2016,Coleoptera,Elateridae,0
COO,29,2015,Coleoptera,Elateridae,0
COO,30,2015,Coleoptera,Elateridae,0
COO,31,2015,Coleoptera,Elateridae,0
COO,32,2015,Coleoptera,Elateridae,0
COO,33,2015,Coleoptera,Elateridae,1
COO,34,2015,Coleoptera,Elateridae,0
COO,23,2016,Coleoptera,Elateridae,0.035714286
COO,24,2016,Coleoptera,Elateridae,0
COO,25,2016,Coleoptera,Elateridae,0.357142857
COO,26,2016,Coleoptera,Elateridae,0.071428571
COO,27,2016,Coleoptera,Elateridae,0.428571429
COO,28,2016,Coleoptera,Elateridae,0.035714286
COO,29,2016,Coleoptera,Elateridae,0
COO,30,2016,Coleoptera,Elateridae,0
COO,31,2016,Coleoptera,Elateridae,0.071428571
COO,32,2016,Coleoptera,Elateridae,0
COO,33,2016,Coleoptera,Elateridae,0
COO,34,2016,Coleoptera,Elateridae,0
COO,35,2016,Coleoptera,Elateridae,0
COO,36,2016,Coleoptera,Elateridae,0
COO,37,2016,Coleoptera,Elateridae,0
ENG,29,2015,Coleoptera,Elateridae,0
ENG,30,2015,Coleoptera,Elateridae,0
ENG,31,2015,Coleoptera,Elateridae,0.8
ENG,34,2015,Coleoptera,Elateridae,0.2
ENG,23,2016,Coleoptera,Elateridae,0.210526316
ENG,24,2016,Coleoptera,Elateridae,0.105263158
ENG,25,2016,Coleoptera,Elateridae,0.263157895
ENG,26,2016,Coleoptera,Elateridae,0
ENG,27,2016,Coleoptera,Elateridae,0.052631579
ENG,28,2016,Coleoptera,Elateridae,0
ENG,29,2016,Coleoptera,Elateridae,0.105263158
ENG,30,2016,Coleoptera,Elateridae,0
ENG,31,2016,Coleoptera,Elateridae,0
ENG,32,2016,Coleoptera,Elateridae,0
ENG,33,2016,Coleoptera,Elateridae,0
ENG,34,2016,Coleoptera,Elateridae,0
ENG,35,2016,Coleoptera,Elateridae,0.263157895
ENG,36,2016,Coleoptera,Elateridae,0
ENG,37,2016,Coleoptera,Elateridae,0
GOV,29,2015,Coleoptera,Elateridae,0
GOV,30,2015,Coleoptera,Elateridae,0.5
GOV,31,2015,Coleoptera,Elateridae,0
GOV,33,2015,Coleoptera,Elateridae,0
GOV,34,2015,Coleoptera,Elateridae,0.5
GOV,24,2016,Coleoptera,Elateridae,1
GOV,26,2016,Coleoptera,Elateridae,0
GOV,27,2016,Coleoptera,Elateridae,0
GOV,28,2016,Coleoptera,Elateridae,0
GOV,29,2016,Coleoptera,Elateridae,0
GOV,30,2016,Coleoptera,Elateridae,0
GOV,31,2016,Coleoptera,Elateridae,0
GOV,32,2016,Coleoptera,Elateridae,0
GOV,33,2016,Coleoptera,Elateridae,0
GOV,35,2016,Coleoptera,Elateridae,0
GOV,36,2016,Coleoptera,Elateridae,0
GOV,37,2016,Coleoptera,Elateridae,0
HES,25,2015,Coleoptera,Elateridae,0.193548387
HES,27,2015,Coleoptera,Elateridae,0
HES,28,2015,Coleoptera,Elateridae,0
HES,29,2015,Coleoptera,Elateridae,0.032258065
HES,30,2015,Coleoptera,Elateridae,0
HES,31,2015,Coleoptera,Elateridae,0.516129032
HES,32,2015,Coleoptera,Elateridae,0
HES,33,2015,Coleoptera,Elateridae,0.258064516
HES,23,2016,Coleoptera,Elateridae,0.12
HES,24,2016,Coleoptera,Elateridae,0.2
HES,25,2016,Coleoptera,Elateridae,0.36
HES,26,2016,Coleoptera,Elateridae,0
HES,27,2016,Coleoptera,Elateridae,0.12
HES,28,2016,Coleoptera,Elateridae,0
HES,29,2016,Coleoptera,Elateridae,0.08
HES,30,2016,Coleoptera,Elateridae,0.04
HES,31,2016,Coleoptera,Elateridae,0.04
HES,32,2016,Coleoptera,Elateridae,0.04
HES,33,2016,Coleoptera,Elateridae,0
HES,34,2016,Coleoptera,Elateridae,0
HES,35,2016,Coleoptera,Elateridae,0
HES,36,2016,Coleoptera,Elateridae,0
HES,37,2016,Coleoptera,Elateridae,0
HOR,25,2015,Coleoptera,Elateridae,0.157894737
HOR,26,2015,Coleoptera,Elateridae,0
HOR,28,2015,Coleoptera,Elateridae,0
HOR,29,2015,Coleoptera,Elateridae,0
HOR,30,2015,Coleoptera,Elateridae,0.421052632
HOR,31,2015,Coleoptera,Elateridae,0
HOR,32,2015,Coleoptera,Elateridae,0.210526316
HOR,33,2015,Coleoptera,Elateridae,0.210526316
HOR,34,2015,Coleoptera,Elateridae,0
HOR,23,2016,Coleoptera,Elateridae,0.379310345
HOR,24,2016,Coleoptera,Elateridae,0.068965517
HOR,25,2016,Coleoptera,Elateridae,0.310344828
HOR,26,2016,Coleoptera,Elateridae,0
